date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20
2020-01-02,956.41279,sh.600519,贵州茅台,,,,,,
2020-01-03,912.87484848,sh.600519,贵州茅台,-0.04552212389380528,-0.04659081460125749,,,,
2020-01-06,912.39241017,sh.600519,贵州茅台,-0.0005284824210057826,-0.0005286221170605463,,,,
2020-01-07,926.39158499,sh.600519,贵州茅台,0.015343370532194145,0.015226851375361863,,,,
2020-01-08,920.98319762,sh.600519,贵州茅台,-0.005838122299068882,-0.005855230755060694,925.8109662520001,,,
2020-01-09,933.3065341,sh.600519,贵州茅台,0.013380631168783408,0.013291901156263533,921.189715072,,,
2020-01-10,941.6010875,sh.600519,贵州茅台,0.008887276684501622,0.008848017275762413,926.9349628760001,,,
2020-01-13,951.56301541,sh.600519,贵州茅台,0.010579775280898929,0.01052420108972396,934.769083924,,,
2020-01-14,937.2845342,sh.600519,贵州茅台,-0.015005292323018504,-0.015119010741252395,936.9476737660001,,,
2020-01-15,941.28792579,sh.600519,贵州茅台,0.0042712660285353365,0.004262170063451671,941.0086193999999,,,
2020-01-16,936.945981,sh.600519,贵州茅台,-0.004612770089827745,-0.004623441743681686,941.7365087800001,,,
2020-01-17,937.3691725,sh.600519,贵州茅台,0.00045167118337863243,0.00045156921065395714,940.8901257800001,,,
2020-01-20,923.403853,sh.600519,贵州茅台,-0.014898419864559753,-0.015010516086219818,935.258293298,,,
2020-01-21,910.1156399,sh.600519,贵州茅台,-0.014390467461044887,-0.01449501443659018,929.824514438,,,
2020-01-22,910.29338033,sh.600519,贵州茅台,0.00019529433646425787,0.0001952752690078008,923.6256053459999,,,
2020-01-23,891.0720224,sh.600519,贵州茅台,-0.021115563779044333,-0.021341686094435614,914.4508136259999,,,
2020-02-03,849.70082136,sh.600519,贵州茅台,-0.046428571428571486,-0.047540944769000136,896.917143398,,,
2020-02-04,878.55401783,sh.600519,贵州茅台,0.033956888995139156,0.03339308178874356,887.947176364,,,
2020-02-05,888.69368617,sh.600519,贵州茅台,0.011541314630880262,0.011475221705897366,883.6627856179999,,,
2020-02-06,906.476193,sh.600519,贵州茅台,0.02000971437823207,0.019812151151055182,882.8993481519999,918.3361347875,,
2020-02-07,910.708108,sh.600519,贵州茅台,0.00466853408029877,0.00465767027398094,886.8265652719999,916.0509006875002,,0.31779110957026796
2020-02-10,902.65900567,sh.600519,贵州茅台,-0.008838289962825208,-0.008877579319356385,897.418202134,915.5401085469999,,0.2753945297219404
2020-02-11,929.328534,sh.600519,贵州茅台,0.029545518476497667,0.02911746066710267,907.5731053679999,916.3869147385,,0.29521251938097054
2020-02-12,928.71067441,sh.600519,贵州茅台,-0.0006648451730418836,-0.0006650662806009026,915.5765030160001,916.5028692095,,0.2903872669951818
2020-02-13,923.403853,sh.600519,贵州茅台,-0.005714181559689058,-0.00573056995580422,918.962035016,916.6239019785,,0.29035293727261
2020-02-14,920.864704,sh.600519,贵州茅台,-0.002749770852429001,-0.0027535584171829186,920.9933542160001,916.0018104735,,0.2863257171482014
2020-02-17,925.79065306,sh.600519,贵州茅台,0.005349264705882373,0.005335008208023645,925.6196836940001,915.2112887515001,,0.2850573245573441
2020-02-18,917.479172,sh.600519,贵州茅台,-0.008977711140772726,-0.009018253624320065,923.249811294,913.507096581,,0.2832476384027822
2020-02-19,928.0589595,sh.600519,贵州茅台,0.011531365313653286,0.011465385858351515,923.119468312,913.045817846,,0.2823390189660287
2020-02-20,946.256194,sh.600519,贵州茅台,0.019607843137254832,0.019418085857101516,927.689936512,913.2942312565001,,0.2907857677062748
2020-02-21,941.92271304,sh.600519,贵州茅台,-0.004579606440071604,-0.004590124963729436,931.90153832,913.5430678585001,,0.2907781736030917
2020-02-24,920.17066994,sh.600519,贵州茅台,-0.023093235568974135,-0.02336406196291036,930.777541696,912.6831427305,,0.30252315136570085
2020-02-25,909.70091223,sh.600519,贵州茅台,-0.01137806067072622,-0.011443286033782425,929.221889742,911.9979956919999,,0.3005917626506907
2020-02-26,908.7614271,sh.600519,贵州茅台,-0.00103274067044401,-0.0010332743145324778,925.362383262,911.930285052,,0.29615670588540277
2020-02-27,920.34841037,sh.600519,贵州茅台,0.012750302691627136,0.012669701981513936,920.1808265359999,912.433036554,,0.2995487022775826
2020-02-28,894.626831,sh.600519,贵州茅台,-0.027947654475395156,-0.028345622551366006,910.721650128,912.610776984,,0.3070418820890191
2020-03-02,919.18040183,sh.600519,贵州茅台,0.02744560075685909,0.0270757226843796,910.5235965060001,916.0847560075001,,0.26704990117749416
2020-03-03,942.024279,sh.600519,贵州茅台,0.02485244150606336,0.024548642720927532,916.9882698600001,919.2582690660001,,0.2552303564017517
2020-03-04,955.49869636,sh.600519,贵州茅台,0.014303683737646011,0.01420235119608301,926.3357237119999,922.5985195755,,0.25655290169949585
2020-03-05,991.114493,sh.600519,贵州茅台,0.03727456329943668,0.03659666112608956,940.488940238,926.8304345755001,,0.27752409793039357
2020-03-06,977.9955565,sh.600519,贵州茅台,-0.013236549957301502,-0.013324933883281976,957.162685338,930.1948070004998,,0.28466632637850997
2020-03-09,942.87912583,sh.600519,贵州茅台,-0.03590653396797927,-0.036567032606813876,961.9024301380001,932.2058130085001,,0.31509624486694543
2020-03-10,978.418748,sh.600519,贵州茅台,0.037692659850450116,0.03699965212470114,969.1813239380001,934.6603237085001,,0.3255690399993378
